sample_1,52,26,84,76,77,87,55,66,51,22,79,56,35,87,83,96,23,74,63,98,34,42,21,62,58,14
sample_2,65,17,75,72,93,9,10,47,48,36,72,56,56,39,74,57,89,3,48,9,9,80,73,32,24,25
sample_3,44,42,21,23,57,85,53,13,73,78,7,35,42,67,24,9,38,15,4,41,21,12,94,74,68,41
sample_4,59,54,4,49,25,7,70,93,99,20,34,16,42,9,33,86,48,39,2,31,37,48,38,12,35,36
sample_5,9,82,43,60,30,83,76,32,31,29,20,94,42,31,20,86,59,4,68,44,17,9,3,92,5,67
sample_6,11,25,86,17,17,94,25,22,29,83,31,81,81,45,33,44,47,42,14,46,66,96,10,57,71,42
sample_7,27,4,83,71,21,97,20,32,58,51,9,69,72,61,17,42,4,17,19,88,3,85,88,76,92,4
sample_8,95,75,55,0,70,40,92,6,4,47,47,40,33,16,13,14,71,61,63,26,20,13,69,2,26,57
sample_9,6,30,46,2,7,86,75,22,12,21,96,64,42,97,8,89,3,56,74,84,67,56,95,15,3,11
sample_10,60,37,0,33,79,41,74,69,65,23,61,6,64,96,16,81,47,32,31,56,91,52,4,72,78,38
sample_11,80,38,92,1,6,47,77,39,64,45,56,7,22,50,71,9,11,35,71,7,52,56,13,24,57,37
sample_12,73,71,64,48,64,98,4,49,90,32,2,25,28,57,79,32,83,32,98,79,50,73,40,5,55,70
sample_13,1,49,12,58,22,34,71,47,73,33,94,37,26,99,97,64,94,17,29,92,51,67,96,34,48,37
sample_14,46,95,50,27,12,64,57,35,1,44,96,74,22,35,1,55,63,12,88,77,72,30,87,45,90,62
sample_15,19,80,83,49,28,62,6,56,51,79,94,59,48,73,97,44,20,92,1,19,82,4,66,11,98,84
sample_16,58,66,70,59,94,96,77,45,42,8,14,42,31,20,72,13,17,44,31,49,73,7,9,39,87,6
sample_17,18,46,97,83,11,21,28,64,84,54,65,9,24,18,25,56,74,69,85,22,65,32,7,21,98,94
sample_18,66,12,96,72,36,84,70,33,26,97,11,71,90,12,27,97,81,34,67,91,91,73,30,6,7,13
sample_19,36,84,31,8,41,22,57,81,76,75,93,16,70,44,11,79,55,21,5,68,50,0,81,29,63,94
sample_20,45,41,83,24,79,96,60,29,61,94,42,51,61,11,97,56,8,93,6,16,83,77,27,79,66,24
sample_21,92,92,9,35,22,6,94,8,30,40,95,36,32,22,29,18,19,47,97,61,37,89,99,21,44,18
sample_22,68,5,43,40,88,94,6,44,60,23,30,28,80,98,42,27,93,52,96,63,16,94,91,37,62,72
sample_23,42,23,17,70,20,2,83,15,69,37,59,3,22,96,56,81,47,52,36,19,40,37,87,78,14,75
sample_24,29,55,5,58,84,36,45,33,57,50,57,4,65,49,2,44,3,91,4,28,27,93,25,96,15,23
sample_25,16,77,51,19,12,40,11,51,76,71,83,93,40,47,64,63,69,24,85,15,47,72,5,19,37,38
sample_26,28,55,94,44,44,53,73,13,15,66,64,61,42,60,98,11,8,86,47,8,99,70,78,47,79,51
sample_27,64,7,42,1,19,70,47,88,71,38,52,46,97,21,14,9,57,94,72,59,64,4,84,40,27,13
sample_28,91,35,23,54,73,6,18,39,89,19,72,34,62,92,39,82,18,32,47,64,36,9,86,92,43,2
sample_29,49,9,36,99,87,90,49,87,81,68,33,6,84,46,16,83,63,90,84,81,46,96,99,78,87,27
sample_30,36,69,41,27,46,60,11,45,18,84,38,54,62,63,77,86,87,50,68,58,66,63,52,18,45,75
sample_31,78,89,79,26,27,58,46,62,14,23,65,70,59,33,20,14,38,89,59,62,17,57,94,80,82,77
sample_32,31,64,28,53,83,67,45,72,89,90,7,87,40,62,7,68,57,45,27,17,89,50,94,22,57,80
sample_33,91,37,77,81,22,85,97,85,97,4,60,44,49,92,57,35,94,41,15,21,53,32,19,91,23,11
sample_34,18,93,50,21,69,61,16,93,93,62,17,97,93,9,45,40,84,90,63,14,25,16,23,38,13,66
sample_35,37,67,91,87,79,26,51,9,24,78,99,26,46,83,85,59,74,9,12,81,51,65,63,35,84,15
sample_36,94,5,41,79,57,32,42,18,44,71,83,10,57,12,40,20,97,20,11,85,63,29,83,91,31,21
sample_37,82,47,57,93,9,29,43,75,6,13,37,7,78,4,6,93,8,75,20,73,4,8,2,33,38,8
sample_38,57,57,42,71,4,18,33,47,74,41,79,3,71,70,87,15,9,35,46,25,74,65,17,45,2,80
sample_39,84,62,46,44,88,41,14,53,24,65,54,64,54,1,56,91,43,12,10,30,12,16,37,9,88,29
sample_40,62,86,77,81,15,33,24,67,45,35,85,92,66,71,59,5,39,70,15,98,6,1,94,71,67,12
sample_41,23,61,52,32,65,0,35,65,42,26,67,85,58,18,45,28,58,62,27,13,81,2,21,15,65,12
sample_42,11,76,29,13,36,56,84,17,56,72,19,24,80,8,43,33,24,16,79,40,69,97,69,11,78,53
sample_43,71,14,98,81,25,31,7,13,73,73,37,52,83,5,43,75,75,61,65,20,52,16,40,61,84,39
sample_44,5,99,61,58,71,48,66,45,50,30,74,41,34,35,29,19,24,48,92,83,58,78,15,95,28,53
sample_45,53,71,99,62,88,41,4,77,93,70,25,72,75,57,43,49,75,4,36,69,97,4,20,65,31,52
sample_46,82,81,94,1,61,80,79,28,37,81,13,54,13,89,88,92,45,29,51,4,44,51,85,96,54,7
sample_47,10,63,28,47,78,21,51,15,36,81,25,16,67,80,66,32,37,21,18,6,72,58,20,97,75,77
sample_48,2,39,13,31,58,20,52,22,64,19,85,83,97,74,65,17,51,58,72,33,82,79,30,99,33,32
sample_49,30,49,55,50,92,86,37,24,60,54,78,53,80,63,57,87,45,57,37,36,15,96,79,78,1,29
sample_50,72,43,41,19,86,98,45,28,83,8,64,38,88,15,3,15,68,64,32,93,86,37,60,41,61,53
sample_51,78,54,85,29,9,5,9,90,79,78,54,78,57,26,1,60,73,57,78,49,65,8,75,58,47,77
sample_52,81,78,60,32,90,31,30,88,41,10,4,14,46,19,39,19,97,79,9,4,98,28,34,0,36,6
sample_53,27,5,38,57,58,67,51,88,31,48,25,77,0,88,63,42,31,84,92,24,24,34,42,47,12,57
sample_54,98,99,74,19,30,55,29,37,87,59,7,95,84,3,85,28,57,35,6,34,92,0,50,41,94,74
sample_55,13,50,68,52,87,10,98,87,6,11,68,91,10,83,87,49,29,72,75,3,36,34,84,88,44,22
sample_56,71,62,0,66,97,54,25,56,33,93,39,46,23,78,71,21,98,97,37,2,63,88,56,42,24,47
sample_57,32,19,79,54,42,46,47,10,61,24,12,21,26,96,3,72,7,26,71,1,86,27,84,6,76,70
sample_58,82,52,94,42,59,8,84,7,65,44,58,14,64,44,86,17,62,37,39,9,38,0,33,44,81,73
sample_59,49,87,80,79,48,68,18,55,20,20,31,48,47,41,46,17,60,16,94,57,53,17,31,1,90,40
sample_60,61,59,22,70,87,84,53,58,75,85,26,62,60,22,50,60,39,97,6,34,39,92,36,27,52,17
sample_61,72,17,0,61,57,87,87,6,13,37,99,47,55,78,44,4,29,49,19,44,23,63,21,74,13,94
sample_62,70,59,87,72,47,13,11,65,80,37,60,31,53,30,43,3,63,86,62,33,63,19,39,87,71,76
sample_63,65,34,72,11,21,54,60,52,59,7,22,6,90,18,28,9,51,93,85,46,24,66,50,97,62,70
sample_64,32,46,26,83,96,35,65,26,40,22,81,67,86,18,50,75,31,42,81,78,75,22,47,77,73,54
